xaxis,yaxis,slice,angle,x0,amplitude,yaxisamp
-22.880459665587615,0.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,0.0
-21.72889676408655,2.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,1.9963410998074373
-20.59309899606228,2.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,1.9963410998074373
-19.471895542753415,3.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,2.9945116497111557
-18.364119544380962,4.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,3.9926821996148747
-17.268607363751016,1.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,0.9981705499037187
-16.18419789137995,1.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,0.9981705499037187
-15.109731887190138,1.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,0.9981705499037187
-14.044051353977554,3.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,2.9945116497111557
-12.98599893799038,6.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,5.989023299422311
-11.93441735208038,3.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,2.9945116497111557
-10.888148816995702,5.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,4.990852749518593
-9.846034516474463,10.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,9.981705499037187
-8.806914061872922,4.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,3.9926821996148747
-7.769624962119691,18.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,17.967069898266935
-6.733002094828017,17.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,16.968899348363216
-5.695877174421325,28.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,27.94877539730412
-4.657078213132511,50.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,49.90852749518593
-3.6154289707246607,97.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,96.8225433406607
-2.5697483887493515,2312.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,2307.7703113773973
-1.5188500051082485,26226.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,26178.020841774924
-0.4615413446137486,35510.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,35445.03622708105
0.6033767188454853,34697.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,34633.523570009325
1.6771106330385583,24704.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,24658.805264821465
2.7608748756617523,1725.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,1721.8441985839147
3.8558927049320086,95.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,94.82620224085326
4.963396957468175,48.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,47.91218639537849
6.084630898621786,33.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,32.93962814682271
7.220849130640579,22.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,21.95975209788181
8.37331856429398,14.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,13.97438769865206
9.54331945986105,14.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,13.97438769865206
10.73214654367889,7.0,100.0,-6.226875,-6.245777399922063,1.0018328031181223,6.98719384932603
-22.860928415587615,-2.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,-1.9961607135187136
-21.70936551408655,4.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,3.992321427037427
-20.57356774606228,2.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,1.9961607135187136
-19.452364292753415,1.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,0.9980803567593568
-18.344588294380962,0.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,0.0
-17.249076113751016,1.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,0.9980803567593568
-16.16466664137995,0.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,0.0
-15.090200637190138,2.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,1.9961607135187136
-14.024520103977554,2.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,1.9961607135187136
-12.96646768799038,2.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,1.9961607135187136
-11.91488610208038,2.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,1.9961607135187136
-10.868617566995702,6.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,5.98848214055614
-9.826503266474463,8.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,7.984642854074854
-8.787382811872922,4.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,3.992321427037427
-7.750093712119691,14.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,13.973124994630995
-6.713470844828017,17.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,16.967366064909065
-5.676345924421325,26.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,25.950089275743277
-4.637546963132511,50.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,49.904017837967835
-3.5958977207246607,97.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,96.8137946056576
-2.5502171387493515,2594.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,2589.0204454337713
-1.4993187551082485,26536.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,26485.06034696629
-0.4420100946137486,35567.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,35498.724048860044
0.6229079688454853,34629.0,101.0,-6.20734375,-6.2273691981860715,1.0019233353583634,34562.52467421976
