,mu,xaxis,yaxis,colors
358,0.001,-9.501,3,#9D6C97
5,-1.0,-9.5,1,#9DD9C5
326,-0.002,-9.498,3,#9D6C97
679,0.9,-9.4,5,#9DC3E6
294,-0.102,-9.398,5,#9D6C97
647,0.806,-9.306000000000001,6,#9DC3E6
262,-0.2,-9.3,7,#9D6C97
615,0.701,-9.201,5,#9DC3E6
230,-0.3,-9.2,6,#9D6C97
583,0.604,-9.104,6,#9DC3E6
198,-0.4,-9.1,5,#9D6C97
551,0.504,-9.004,6,#9DC3E6
166,-0.501,-8.999,6,#9D6C97
519,0.403,-8.903,4,#9DC3E6
134,-0.6,-8.9,8,#9D6C97
487,0.301,-8.801,5,#9DC3E6
102,-0.7,-8.8,5,#9D6C97
455,0.208,-8.708,6,#9DC3E6
70,-0.8,-8.7,4,#9D6C97
423,0.103,-8.603,3,#9DC3E6
38,-0.903,-8.597,7,#9D6C97
712,1.007,-8.507,5,#9DD9C5
391,0.003,-8.503,5,#9DC3E6
359,0.001,-8.501,8,#9DC3E6
6,-1.0,-8.5,5,#9D6C97
327,-0.002,-8.498,4,#9DC3E6
680,0.9,-8.4,2,#9DD9C5
295,-0.102,-8.398,6,#9DC3E6
648,0.806,-8.306000000000001,6,#9DD9C5
263,-0.2,-8.3,8,#9DC3E6
616,0.701,-8.201,4,#9DD9C5
231,-0.3,-8.2,7,#9DC3E6
584,0.604,-8.104,5,#9DD9C5
199,-0.4,-8.1,5,#9DC3E6
552,0.504,-8.004,4,#9DD9C5
167,-0.501,-7.999,9,#9DC3E6
520,0.403,-7.9030000000000005,5,#9DD9C5
135,-0.6,-7.9,8,#9DC3E6
488,0.301,-7.801,7,#9DD9C5
103,-0.7,-7.8,7,#9DC3E6
456,0.208,-7.708,5,#9DD9C5
71,-0.8,-7.7,6,#9DC3E6
424,0.103,-7.603,8,#9DD9C5
39,-0.903,-7.5969999999999995,6,#9DC3E6
713,1.007,-7.507,8,#9D6C97
392,0.003,-7.503,7,#9DD9C5
360,0.001,-7.501,6,#9DD9C5
7,-1.0,-7.5,4,#9DC3E6
328,-0.002,-7.498,7,#9DD9C5
681,0.9,-7.4,8,#9D6C97
296,-0.102,-7.398,7,#9DD9C5
649,0.806,-7.306,6,#9D6C97
264,-0.2,-7.3,8,#9DD9C5
617,0.701,-7.201,9,#9D6C97
232,-0.3,-7.2,8,#9DD9C5
585,0.604,-7.104,9,#9D6C97
200,-0.4,-7.1,5,#9DD9C5
553,0.504,-7.004,12,#9D6C97
168,-0.501,-6.999,9,#9DD9C5
521,0.403,-6.9030000000000005,10,#9D6C97
136,-0.6,-6.9,8,#9DD9C5
489,0.301,-6.801,10,#9D6C97
104,-0.7,-6.8,9,#9DD9C5
457,0.208,-6.708,12,#9D6C97
72,-0.8,-6.7,8,#9DD9C5
425,0.103,-6.603,11,#9D6C97
40,-0.903,-6.5969999999999995,11,#9DD9C5
714,1.007,-6.507,9,#9DC3E6
393,0.003,-6.503,9,#9D6C97
361,0.001,-6.501,9,#9D6C97
8,-1.0,-6.5,9,#9DD9C5
329,-0.002,-6.498,10,#9D6C97
682,0.9,-6.4,9,#9DC3E6
297,-0.102,-6.398,12,#9D6C97
650,0.806,-6.306,11,#9DC3E6
265,-0.2,-6.3,9,#9D6C97
618,0.701,-6.201,11,#9DC3E6
233,-0.3,-6.2,14,#9D6C97
586,0.604,-6.104,11,#9DC3E6
201,-0.4,-6.1,12,#9D6C97
554,0.504,-6.004,12,#9DC3E6
169,-0.501,-5.999,16,#9D6C97
522,0.403,-5.9030000000000005,14,#9DC3E6
137,-0.6,-5.9,14,#9D6C97
490,0.301,-5.801,13,#9DC3E6
105,-0.7,-5.8,15,#9D6C97
458,0.208,-5.708,13,#9DC3E6
73,-0.8,-5.7,13,#9D6C97
426,0.103,-5.603,15,#9DC3E6
41,-0.903,-5.5969999999999995,18,#9D6C97
715,1.007,-5.507,19,#9DD9C5
394,0.003,-5.503,16,#9DC3E6
