,mu,xaxis,yaxis,colors
412,0.003,12.497,6,#9DC3E6
380,0.001,12.499,6,#9DC3E6
27,-1.0,12.5,4,#9D6C97
348,-0.002,12.502,6,#9DC3E6
701,0.9,12.6,6,#9DD9C5
316,-0.102,12.602,3,#9DC3E6
669,0.806,12.693999999999999,7,#9DD9C5
284,-0.2,12.7,4,#9DC3E6
637,0.701,12.799,5,#9DD9C5
252,-0.3,12.8,2,#9DC3E6
605,0.604,12.896,7,#9DD9C5
220,-0.4,12.9,4,#9DC3E6
573,0.504,12.996,5,#9DD9C5
188,-0.501,13.001,6,#9DC3E6
541,0.403,13.097,4,#9DD9C5
156,-0.6,13.1,4,#9DC3E6
509,0.301,13.199,5,#9DD9C5
124,-0.7,13.2,4,#9DC3E6
477,0.208,13.292,6,#9DD9C5
92,-0.8,13.3,3,#9DC3E6
445,0.103,13.397,6,#9DD9C5
60,-0.903,13.403,3,#9DC3E6
734,1.007,13.493,6,#9D6C97
413,0.003,13.497,4,#9DD9C5
381,0.001,13.499,5,#9DD9C5
28,-1.0,13.5,2,#9DC3E6
349,-0.002,13.502,5,#9DD9C5
702,0.9,13.6,6,#9D6C97
317,-0.102,13.602,7,#9DD9C5
670,0.806,13.693999999999999,8,#9D6C97
285,-0.2,13.7,6,#9DD9C5
638,0.701,13.799,5,#9D6C97
253,-0.3,13.8,6,#9DD9C5
606,0.604,13.896,6,#9D6C97
221,-0.4,13.9,5,#9DD9C5
574,0.504,13.996,6,#9D6C97
189,-0.501,14.001,3,#9DD9C5
542,0.403,14.097,5,#9D6C97
157,-0.6,14.1,5,#9DD9C5
510,0.301,14.199,7,#9D6C97
125,-0.7,14.2,6,#9DD9C5
478,0.208,14.292,4,#9D6C97
93,-0.8,14.3,5,#9DD9C5
446,0.103,14.397,6,#9D6C97
61,-0.903,14.403,5,#9DD9C5
735,1.007,14.493,0,#9DC3E6
414,0.003,14.497,5,#9D6C97
382,0.001,14.499,6,#9D6C97
29,-1.0,14.5,5,#9DD9C5
350,-0.002,14.502,5,#9D6C97
703,0.9,14.6,5,#9DC3E6
318,-0.102,14.602,2,#9D6C97
671,0.806,14.693999999999999,4,#9DC3E6
286,-0.2,14.7,5,#9D6C97
639,0.701,14.799,4,#9DC3E6
254,-0.3,14.8,5,#9D6C97
607,0.604,14.896,2,#9DC3E6
222,-0.4,14.9,7,#9D6C97
575,0.504,14.996,4,#9DC3E6
190,-0.501,15.001,6,#9D6C97
543,0.403,15.097,2,#9DC3E6
158,-0.6,15.1,5,#9D6C97
511,0.301,15.199,4,#9DC3E6
126,-0.7,15.2,4,#9D6C97
479,0.208,15.292,2,#9DC3E6
94,-0.8,15.3,5,#9D6C97
447,0.103,15.397,2,#9DC3E6
62,-0.903,15.403,6,#9D6C97
415,0.003,15.497,5,#9DC3E6
383,0.001,15.499,2,#9DC3E6
30,-1.0,15.5,5,#9D6C97
351,-0.002,15.502,1,#9DC3E6
319,-0.102,15.602,1,#9DC3E6
287,-0.2,15.7,2,#9DC3E6
255,-0.3,15.8,1,#9DC3E6
223,-0.4,15.9,2,#9DC3E6
191,-0.501,16.001,3,#9DC3E6
159,-0.6,16.1,2,#9DC3E6
127,-0.7,16.2,2,#9DC3E6
95,-0.8,16.3,4,#9DC3E6
63,-0.903,16.403,2,#9DC3E6
31,-1.0,16.5,4,#9DC3E6
