mu,xaxis,yaxis,colors
-0.102,15.602,1,#9DC3E6
-0.2,15.7,2,#9DC3E6
-0.3,15.8,1,#9DC3E6
-0.4,15.9,2,#9DC3E6
-0.501,16.001,3,#9DC3E6
-0.6,16.1,2,#9DC3E6
-0.7,16.2,2,#9DC3E6
-0.8,16.3,4,#9DC3E6
-0.903,16.403,2,#9DC3E6
-1.0,16.5,4,#9DC3E6
