file,label,plot,baser,onaxis,offaxis,offaxisvalue,roughness,points,angle,normal_slice,slice1,slice2,sliceonedeg,displacement,location
Ann10_onoff_20deg_b_-0.050.csv,Ann10_-0.05,,x,x,,-0.05,0.1,4096,20,2041,1990,2092,103,-0.068359375,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Ann10_onoff_20deg_b_0.000.csv,Ann10_0.0,,x,x,,0,0.1,4096,20,2037,1986,2088,103,-0.107421875,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Ann10_onoff_20deg_b_0.050.csv,Ann10_0.05,,x,x,,0.05,0.1,4096,20,2039,1988,2090,103,-0.087890625,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Ann10_onoff_20deg_b_0.100.csv,Ann10_0.1,,x,x,,0.1,0.1,4096,20,2037,1986,2088,103,-0.107421875,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Ann10_onoff_20deg_b_0.150.csv,Ann10_0.15,,x,x,,0.15,0.1,4096,20,2041,1990,2092,103,-0.068359375,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
PT_3um_-0.150.csv,PT_-0.15,x,,x,,-0.15,,4096,20,2651,2600,2702,103,5.888671875,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
PT_3um_-0.100.csv,PT_-0.1,x,,x,,-0.1,,4096,20,2651,2600,2702,103,5.888671875,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
PT_3um_-0.050.csv,PT_-0.05,x,,x,,-0.05,,4096,20,2958,2907,3009,103,8.88671875,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
PT_3um_0.000.csv,PT_0.0,x,,x,,0,,4096,20,2651,2600,2702,103,5.888671875,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
PT_3um_0.050.csv,PT_0.05,x,,x,,0.05,,4096,20,2651,2600,2702,103,5.888671875,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
PT_3um_0.100.csv,PT_0.1,x,,x,,0.1,,4096,20,2242,2191,2293,103,1.89453125,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
PT_3um_0.150.csv,PT_0.15,x,,x,,0.15,,4096,20,2958,2907,3009,103,8.88671875,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Rockley_rough_-0.150.csv,Rockleyrough_-0.15,x,,x,,-0.15,1,4096,20,2964,2913,3015,103,8.9453125,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Rockley_rough_-0.100.csv,Rockleyrough_-0.1,x,,x,,-0.1,1,4096,20,2657,2606,2708,103,5.947265625,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Rockley_rough_-0.050.csv,Rockleyrough_-0.05,x,,x,,-0.05,1,4096,20,2964,2913,3015,103,8.9453125,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Rockley_rough_0.000.csv,Rockleyrough_0.0,x,,x,,0,1,4096,20,2651,2600,2702,103,5.888671875,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Rockley_rough_0.050.csv,Rockleyrough_0.05,x,,x,,0.05,1,4096,20,2964,2913,3015,103,8.9453125,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Rockley_rough_0.100.csv,Rockleyrough_0.1,x,,x,,0.1,1,4096,20,2657,2606,2708,103,5.947265625,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
Rockley_rough_0.150.csv,Rockleyrough_0.15,x,,x,,0.15,1,4096,20,2964,2913,3015,103,8.9453125,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
