xaxis,yaxis,colors
3.601,69,#9DC3E6
3.697,63,#9DC3E6
3.7995,59.5,#9DC3E6
3.898,55,#9DC3E6
3.9985,51,#9DC3E6
4.0985,47.5,#9DC3E6
4.1995,45.5,#9DC3E6
4.296,41.5,#9DC3E6
4.4,41,#9DC3E6
4.501,37,#9DD9C5
4.601,34,#9DD9C5
4.697,28.5,#9DD9C5
4.7995,29,#9DD9C5
4.898,27,#9DD9C5
4.9985,25.5,#9DD9C5
5.0985,24,#9DD9C5
5.1995,24,#9DD9C5
5.296,24,#9DD9C5
5.4,20,#9DD9C5
5.501,20,#9D6C97
5.601,21.5,#9D6C97
5.697,19,#9D6C97
5.7995,19.5,#9D6C97
5.898,17,#9D6C97
5.9985,15,#9D6C97
6.0985,15.5,#9D6C97
6.1995,16,#9D6C97
6.296,12,#9D6C97
6.4,13.5,#9D6C97
6.501,14.5,#9DC3E6
6.601,11,#9DC3E6
6.697,10.5,#9DC3E6
6.7995,9.5,#9DC3E6
6.898,10.5,#9DC3E6
6.9985,9.5,#9DC3E6
7.0985,10.5,#9DC3E6
7.1995,10,#9DC3E6
7.296,9.5,#9DC3E6
7.4,7,#9DC3E6
7.501,7,#9DD9C5
7.601,6.5,#9DD9C5
7.697,6,#9DD9C5
7.7995,6.5,#9DD9C5
7.898,5,#9DD9C5
7.9985,5.5,#9DD9C5
8.0985,7,#9DD9C5
8.1995,4.5,#9DD9C5
8.296,6,#9DD9C5
8.4,4.5,#9DD9C5
8.501,4.5,#9D6C97
8.601,9,#9D6C97
8.697,8,#9D6C97
8.7995,7,#9D6C97
8.898,6.5,#9D6C97
8.9985,7,#9D6C97
9.0985,5.5,#9D6C97
9.1995,7.5,#9D6C97
9.296,4.5,#9D6C97
9.4,5.5,#9D6C97
9.501,6.5,#9DC3E6
9.601,4.5,#9DC3E6
9.697,3.5,#9DC3E6
9.7995,5,#9DC3E6
9.898,3.5,#9DC3E6
9.9985,4.5,#9DC3E6
10.0985,3,#9DC3E6
10.1995,4,#9DC3E6
10.296,5,#9DC3E6
10.4,3.5,#9DC3E6
10.501,2,#9DD9C5
10.601,2.5,#9DD9C5
10.697,2.5,#9DD9C5
10.7995,2.5,#9DD9C5
10.898,4,#9DD9C5
10.9985,3,#9DD9C5
11.0985,2.5,#9DD9C5
11.1995,0.5,#9DD9C5
11.296,2,#9DD9C5
11.4,3,#9DD9C5
11.501,0,#9D6C97
11.601,3.5,#9D6C97
11.697,5.5,#9D6C97
11.7995,5,#9D6C97
11.898,3.5,#9D6C97
11.9985,4.5,#9D6C97
12.0985,4.5,#9D6C97
12.1995,3.5,#9D6C97
12.296,3,#9D6C97
12.4,2.5,#9D6C97
12.501,5,#9DC3E6
12.601,4.5,#9DC3E6
12.697,5.5,#9DC3E6
12.7995,3.5,#9DC3E6
12.898,5.5,#9DC3E6
12.9985,5.5,#9DC3E6
13.0985,4,#9DC3E6
13.1995,4.5,#9DC3E6
13.296,4.5,#9DC3E6
13.4,4.5,#9DC3E6
13.501,3.5,#9DD9C5
13.601,6.5,#9DD9C5
13.697,7,#9DD9C5
13.7995,5.5,#9DD9C5
13.898,5.5,#9DD9C5
13.9985,4.5,#9DD9C5
14.0985,5,#9DD9C5
14.1995,6.5,#9DD9C5
14.296,4.5,#9DD9C5
14.4,5.5,#9DD9C5
14.501,5,#9D6C97
14.601,3.5,#9D6C97
14.697,4.5,#9D6C97
14.7995,4.5,#9D6C97
14.898,4.5,#9D6C97
14.9985,5,#9D6C97
15.0985,3.5,#9D6C97
15.1995,4,#9D6C97
15.296,3.5,#9D6C97
15.4,4,#9D6C97
15.501,3,#9DC3E6
15.602,1,#9DC3E6
15.7,2,#9DC3E6
15.8,1,#9DC3E6
15.9,2,#9DC3E6
16.001,3,#9DC3E6
16.1,2,#9DC3E6
16.2,2,#9DC3E6
16.3,4,#9DC3E6
16.403,2,#9DC3E6
16.5,4,#9DC3E6
500,0,#9DC3E6
