\\FS1\Docs2\brendan.roycroft\My Documents\brwork\SFI\Confirm\Results\EpiRoughening\wafer\wafer_000709
0,12207031;0 4 -2 1 -1 0 3 2 2 5 5 3 9 7 16 15 24 34 51 85 136 220 466 17557 24460 24951 20407 4758 273 171 112 75 
0,24414062;1 4 0 0 0 2 2 2 0 4 2 5 5 5 16 16 24 32 51 83 135 218 475 17708 24505 24959 20374 4669 273 170 113 73 
0,36621093;0 2 1 3 2 1 3 2 2 4 2 4 8 6 16 18 23 33 52 86 136 218 493 17818 24512 24944 20334 4586 272 173 112 71 
0,48828124;1 5 2 2 0 1 1 0 2 5 1 4 8 5 14 18 24 34 54 86 137 221 503 17953 24558 24965 20316 4506 270 171 112 72 
0,61035155;-1 3 2 1 -1 -1 1 1 1 4 3 1 8 6 14 18 23 32 52 86 141 224 524 18056 24586 24963 20279 4432 270 170 113 73 
0,73242186;1 3 -1 0 3 2 2 0 1 7 1 3 8 5 16 16 26 33 53 89 137 224 538 18174 24616 24963 20244 4360 269 168 114 72 
0,85449217;0 4 2 2 3 -2 2 2 0 4 4 2 4 4 16 16 26 36 53 89 137 226 566 18293 24624 24949 20203 4268 268 167 112 73 
0,97656248;1 2 -1 1 -1 2 2 1 1 5 3 7 10 8 15 16 24 35 51 86 137 226 583 18400 24663 24957 20174 4197 269 168 111 72 
1,09863279;-1 2 0 1 2 0 2 1 0 5 5 5 10 8 13 15 25 36 52 86 138 227 616 18537 24697 24956 20129 4107 264 168 111 71 
1,2207031;2 3 2 0 -2 0 3 2 0 3 3 6 7 7 15 20 22 35 54 89 141 228 639 18614 24701 24935 20088 4041 265 168 109 68 
1,34277341;-2 3 0 1 0 1 3 2 3 3 2 3 8 6 15 17 23 35 53 88 141 227 669 18727 24734 24948 20066 3961 264 169 110 73 
1,46484372;0 5 -1 5 0 2 1 3 -1 6 5 4 7 6 13 18 24 36 56 86 141 230 708 18843 24765 24938 20018 3878 266 166 112 74 
1,58691403;-2 3 0 1 1 0 4 0 1 2 5 5 7 7 14 16 22 34 54 88 141 229 743 18941 24781 24929 19980 3803 264 166 109 72 
1,70898434;1 4 0 3 2 3 4 1 2 4 3 2 8 5 14 19 22 36 52 90 141 232 779 19033 24794 24920 19944 3722 264 165 112 70 
1,83105465;1 3 2 2 3 3 3 2 2 4 2 7 9 7 13 16 26 37 55 90 143 233 829 19150 24840 24933 19918 3638 263 163 108 71 
1,95312496;-3 -1 3 1 1 1 1 3 2 6 2 4 9 8 15 18 23 36 53 86 145 233 874 19248 24856 24913 19860 3558 261 164 108 70 
2,07519527;-1 1 3 2 2 2 1 1 1 3 3 3 9 7 13 18 23 35 54 89 142 233 920 19335 24886 24921 19840 3490 262 166 108 71 
2,19726558;0 3 1 4 2 2 0 -2 3 6 2 6 10 8 16 18 24 34 53 90 143 234 959 19400 24895 24912 19804 3422 261 164 110 75 
