,x,y,z,radii,angle,n
0,17.200071413430585,48.76345770526213,25.0,-51.708,4.373288960014711,0
1,16.05905902001657,49.146647243638654,18.657198400919725,-51.70383266160285,4.396567873981315,1
2,14.909528899231253,49.50314477419052,23.378807964593026,-51.6996653232057,4.41984678794792,2
3,13.752105314956875,49.83276142562923,23.378807964593026,-51.695497984808554,4.443125701914524,3
4,12.587416707750608,50.13532292328506,25.0,-51.69133064641141,4.466404615881129,4
5,11.41609535362499,50.410669681192275,25.0,-51.68716330801426,4.489683529847733,5
6,10.238777020804246,50.65865688619971,25.0,-51.68299596961711,4.512962443814338,6
7,9.056100624644138,50.87915457406226,25.0,-51.678828631219965,4.536241357780942,7
8,7.868707880901308,51.072047697473444,25.0,-51.67466129282282,4.559520271747547,8
9,6.677242957541694,51.237236186003436,25.0,-51.670493954425666,4.582799185714151,9
10,5.482352125275496,51.374634997911414,25.0,-51.66632661602852,4.606078099680756,10
11,4.284683407009714,51.48417416380542,25.0,-51.662159277631375,4.62935701364736,11
12,3.0848862264070185,51.56579882212738,25.0,-51.65799193923423,4.652635927613964,12
13,1.8836110557426788,51.619469246445426,25.0,-51.653824600837076,4.675914841580569,13
14,0.6815090632500257,51.64516086454008,25.0,-51.64965726243993,4.6991937555471734,14
15,-0.5207682398547977,51.64286426927503,25.0,-51.645489924042785,4.722472669513778,15
16,-1.7225693524763284,51.61258522124834,25.0,-51.64132258564563,4.7457515834803825,16
17,-2.9232431366815628,51.55434464322368,25.0,-51.63715524724849,4.7690304974469875,17
18,-4.122139170487247,51.468178606345916,25.0,-51.63298790885134,4.792309411413592,18
19,-5.318608100203003,51.35413830815009,25.0,-51.62882057045419,4.8155883253801965,19
20,-6.512001992137957,51.21229004237683,25.0,-51.62465323205704,4.838867239346801,20
21,-7.701674683481838,51.04271516061186,25.0,-51.6204858936599,4.862146153313406,21
22,-8.886982132169077,50.84551002577189,25.0,-51.61631855526275,4.88542506728001,22
23,-10.06728276553787,50.62078595746321,25.0,-51.6121512168656,4.908703981246614,23
24,-11.241937827594349,50.36866916924412,25.0,-51.60798387846845,4.931982895213219,24
25,-12.410311724694347,50.08930069782619,25.0,-51.60381654007131,4.955261809179824,25
26,-13.571772369455864,49.78283632425443,24.637123016970385,-51.599649201674154,4.978540723146428,26
27,-14.725691522715968,49.44944648711002,24.637123016970385,-51.59548186327701,5.001819637113032,27
28,-15.871445133346887,49.08931618778407,23.933348300968785,-51.59131452487986,5.025098551079637,28
29,-17.008413675747708,48.70264488787513,23.933348300968785,-51.58714718648272,5.048377465046241,29
30,-18.135982484829608,48.28964639876705,23.77960702561543,-51.582979848085564,5.071656379012846,30
31,-19.253542088312376,47.85054876344862,23.77960702561543,-51.57881250968842,5.09493529297945,31
32,-20.360488536153962,47.385594130639966,23.77295264963879,-51.57464517129127,5.118214206946055,32
33,-21.456223726933604,46.89503862129549,23.856168652589933,-51.57047783289412,5.141493120912659,33
34,-22.540155731013456,46.379152187556535,23.856168652589933,-51.566310494496975,5.164772034879263,34
35,-23.611699110303103,45.838218464231836,23.220431074755723,-51.56214315609983,5.188050948845868,35
36,-24.670275234454593,45.27253461288721,23.220431074755723,-51.55797581770268,5.211329862812473,36
37,-25.715312593317474,44.682411158630224,22.96284356935325,-51.55380847930553,5.234608776779077,37
38,-26.746247105484795,44.068171819679335,22.96284356935325,-51.549641140908385,5.257887690745681,38
39,-27.762522422763485,43.43015332981138,23.36969886539016,-51.54547380251124,5.281166604712286,39
40,-28.76359023040476,42.76870525378448,23.13407173177447,-51.541306464114086,5.304445518678891,40
41,-29.748910542932922,42.084189795837574,23.13407173177447,-51.53713912571694,5.327724432645495,41
42,-30.717951995412555,41.37698160137141,23.378069091828714,-51.532971787319795,5.351003346612099,42
43,-31.670192129997034,40.647467551919945,23.378069091828714,-51.52880444892265,5.374282260578704,43
44,-32.60511767760384,39.8960465535239,22.934243207477614,-51.5246371105255,5.3975611745453085,44
45,-33.5222248345653,39.123129318622325,22.934243207477614,-51.52046977212835,5.420840088511913,45
46,-34.421019534104744,38.329138141581524,22.10261075420788,-51.516302433731205,5.4441190024785175,46
47,-35.30101771249254,37.51450666798426,22.51701021355835,-51.51213509533405,5.467397916445122,47
48,-36.161745569738486,36.679679657804414,22.51701021355835,-51.50796775693691,5.490676830411727,48
49,-37.00273982467976,35.82511274259768,22.04001179720809,-51.50380041853976,5.513955744378331,49
50,-37.82354796432778,34.9512721768395,22.04001179720809,-51.499633080142615,5.537234658344936,50
51,-38.62372848733903,34.05863458354719,21.52388783453998,-51.49546574174546,5.560513572311541,51
52,-39.40285114147946,33.14768669432412,21.905815922630033,-51.49129840334832,5.583792486278145,52
53,-40.16049715495457,32.21892508396806,21.905815922630033,-51.48713106495117,5.607071400244749,53
54,-40.896259461480575,31.272855899788517,22.117417554333727,-51.48296372655402,5.630350314211354,54
55,-41.6097429189759,30.30999458578059,22.117417554333727,-51.47879638815687,5.653629228177958,55
56,-42.30056452175566,29.330865601805115,21.60998702331261,-51.47462904975973,5.676908142144562,56
57,-42.968353606114924,28.336002137928897,21.60998702331261,-51.470461711362574,5.700187056111167,57
58,-43.61275204919041,27.32594582408028,21.442519080264738,-51.46629437296543,5.723465970077772,58
59,-44.23341446099423,26.301246435177738,21.342870032439166,-51.46212703456828,5.746744884044376,59
60,-44.83000836951653,25.262461591892652,21.342870032439166,-51.45795969617114,5.77002379801098,60
61,-45.40221439879768,24.210156457208818,20.903044400473522,-51.453792357773985,5.793302711977585,61
