xaxis,yaxis,colors
1.296,28389.5,#9DC3E6
1.4,27008.5,#9DC3E6
1.501,25548.5,#9DD9C5
1.601,23729.0,#9DD9C5
1.697,21751.0,#9DD9C5
1.7995,18970.5,#9DD9C5
1.898,16193.5,#9DD9C5
1.9985,13509.5,#9DD9C5
2.0985,10977.0,#9DD9C5
2.1995,8585.0,#9DD9C5
2.296,6467.0,#9DD9C5
2.4,4459.5,#9DD9C5
2.501,2784.0,#9D6C97
2.601,1284.5,#9D6C97
2.697,398.0,#9D6C97
2.7995,158.0,#9D6C97
2.8979999999999997,129.5,#9D6C97
2.9985,111.0,#9D6C97
3.0985,100.0,#9D6C97
3.1995,91.0,#9D6C97
3.296,82.0,#9D6C97
3.4,76.5,#9D6C97
3.501,72.0,#9DC3E6
3.601,69.0,#9DC3E6
3.697,63.0,#9DC3E6
3.7995,59.5,#9DC3E6
3.8979999999999997,55.0,#9DC3E6
3.9985,51.0,#9DC3E6
4.0985,47.5,#9DC3E6
4.1995000000000005,45.5,#9DC3E6
4.295999999999999,41.5,#9DC3E6
4.4,41.0,#9DC3E6
4.5009999999999994,37.0,#9DD9C5
4.601,34.0,#9DD9C5
4.697,28.5,#9DD9C5
4.7995,29.0,#9DD9C5
4.898,27.0,#9DD9C5
4.9985,25.5,#9DD9C5
5.0985,24.0,#9DD9C5
5.1995000000000005,24.0,#9DD9C5
5.295999999999999,24.0,#9DD9C5
5.4,20.0,#9DD9C5
5.5009999999999994,20.0,#9D6C97
5.601,21.5,#9D6C97
5.697,19.0,#9D6C97
5.7995,19.5,#9D6C97
5.898,17.0,#9D6C97
5.9985,15.0,#9D6C97
6.0985,15.5,#9D6C97
6.1995000000000005,16.0,#9D6C97
6.295999999999999,12.0,#9D6C97
6.4,13.5,#9D6C97
6.5009999999999994,14.5,#9DC3E6
6.601,11.0,#9DC3E6
6.697,10.5,#9DC3E6
6.7995,9.5,#9DC3E6
6.898,10.5,#9DC3E6
6.9985,9.5,#9DC3E6
7.0985,10.5,#9DC3E6
7.1995000000000005,10.0,#9DC3E6
7.295999999999999,9.5,#9DC3E6
7.4,7.0,#9DC3E6
7.5009999999999994,7.0,#9DD9C5
7.601,6.5,#9DD9C5
7.697,6.0,#9DD9C5
7.7995,6.5,#9DD9C5
7.898,5.0,#9DD9C5
7.9985,5.5,#9DD9C5
8.0985,7.0,#9DD9C5
8.1995,4.5,#9DD9C5
8.296,6.0,#9DD9C5
8.4,4.5,#9DD9C5
8.501000000000001,4.5,#9D6C97
8.600999999999999,9.0,#9D6C97
8.697,8.0,#9D6C97
8.7995,7.0,#9D6C97
8.898,6.5,#9D6C97
8.9985,7.0,#9D6C97
9.0985,5.5,#9D6C97
9.1995,7.5,#9D6C97
9.296,4.5,#9D6C97
9.4,5.5,#9D6C97
9.501000000000001,6.5,#9DC3E6
9.600999999999999,4.5,#9DC3E6
9.697,3.5,#9DC3E6
9.7995,5.0,#9DC3E6
9.898,3.5,#9DC3E6
9.9985,4.5,#9DC3E6
10.0985,3.0,#9DC3E6
10.1995,4.0,#9DC3E6
10.296,5.0,#9DC3E6
10.4,3.5,#9DC3E6
10.501000000000001,2.0,#9DD9C5
10.600999999999999,2.5,#9DD9C5
10.697,2.5,#9DD9C5
10.7995,2.5,#9DD9C5
10.898,4.0,#9DD9C5
10.9985,3.0,#9DD9C5
11.0985,2.5,#9DD9C5
11.1995,0.5,#9DD9C5
11.296,2.0,#9DD9C5
11.4,3.0,#9DD9C5
11.501000000000001,0.0,#9D6C97
11.600999999999999,3.5,#9D6C97
11.697,5.5,#9D6C97
11.7995,5.0,#9D6C97
11.898,3.5,#9D6C97
11.9985,4.5,#9D6C97
12.0985,4.5,#9D6C97
12.1995,3.5,#9D6C97
12.296,3.0,#9D6C97
12.4,2.5,#9D6C97
12.501000000000001,5.0,#9DC3E6
12.600999999999999,4.5,#9DC3E6
12.697,5.5,#9DC3E6
12.7995,3.5,#9DC3E6
12.898,5.5,#9DC3E6
12.9985,5.5,#9DC3E6
13.0985,4.0,#9DC3E6
13.1995,4.5,#9DC3E6
13.296,4.5,#9DC3E6
13.4,4.5,#9DC3E6
13.501000000000001,3.5,#9DD9C5
13.600999999999999,6.5,#9DD9C5
13.697,7.0,#9DD9C5
13.7995,5.5,#9DD9C5
