plot,baser,onaxis,offaxis,offaxisvalue,file,roughness,points,angle,slice1guess,slice2guess,normal_slice,slice1,slice2,sliceonedeg,displacement,location
,x,x,,-0.15,Rockleyref_20deg_-0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
,x,x,,-0.1,Rockleyref_20deg_-0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
,x,x,,-0.05,Rockleyref_20deg_-0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
,x,x,,0.15,Rockleyref_20deg_0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
,x,x,,0.1,Rockleyref_20deg_0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
,x,x,,0.05,Rockleyref_20deg_0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
,,x,,,Ann_7_70deg.csv,1,4096,70,1800,2300,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
,,x,,,Ann_8b_W2_70deg.csv,1,4096,70,1800,2300,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
,,x,,,Ann_8d_C2_70deg.csv,1,4096,70,1800,2300,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
,x,x,,,Ann_10_70deg.csv,0.1,4096,70,1800,2300,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
,x,x,,,PT_SiRef_shiny_70.csv,0.1,4096,70,1800,2300,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
,x,x,,,refrockley_focus_0.csv,0.1,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
x,,,x,,Ann10_offaxis_20deg.csv,0.1,4096,20,1980,2550,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/
,,,x,,Ann8_offaxis_20deg.csv,1,4096,20,1950,2400,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/
,x,x,,,refrockley_focus_m1.csv,0.1,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
,x,x,,,refrockley_focus_m2.csv,0.1,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
,x,x,,,refrockley_focus_m3.csv,0.1,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
,x,x,,,refrockley_focus_p1.csv,0.1,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
,x,x,,,refrockley_focus_p2.csv,0.1,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
x,,,x,,Ann5_offaxis_20deg.csv,1,4096,20,1980,2500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/
x,,,x,,Ann7_offaxis_20deg.csv,1,4096,20,1950,2400,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/
x,,,x,,Oxide1_offaxis_20deg.csv,0.3,4096,20,1980,2550,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/
