angle,x0,difference,slice,amplitude,rmse
-7.789375,-7.43311271580486,0.3562622841951395,20.0,0.9834896807475244,246.63430253712642
-7.76984375,-7.416183703424583,0.35366004657541694,21.0,0.9833577084144,245.18694237472073
-7.7503125,-7.400375022194502,0.349937477805498,22.0,0.9836929108546649,244.5023766072376
-7.73078125,-7.382692011878218,0.3480892381217817,23.0,0.9835286200395897,243.06650204141877
-7.71125,-7.363039296146166,0.3482107038538338,24.0,0.9838681956153581,241.78744572387072
-7.69171875,-7.3445232089320305,0.34719554106796924,25.0,0.9840502300397123,239.74574299721507
-7.6721875,-7.32765452342471,0.34453297657529003,26.0,0.9842356045793277,238.249753058641
-7.65265625,-7.311025848222219,0.34163040177778115,27.0,0.9843798459384532,234.94950694880566
-7.633125,-7.294059021538897,0.339065978461103,28.0,0.9842126464944924,231.11552190100016
-7.61359375,-7.277319951394145,0.3362737986058546,29.0,0.9845742075606,229.5943651052405
-7.5940625,-7.257415148748436,0.336647351251564,30.0,0.9841555143913076,225.32599492799778
-7.57453125,-7.2402304576085115,0.33430079239148824,31.0,0.9841350411824255,221.7459603097189
-7.555,-7.223386501097831,0.3316134989021684,32.0,0.984734447440907,217.2108159821989
-7.53546875,-7.203910930646001,0.331557819353999,33.0,0.9841279481114018,208.13634552494224
-7.5159375,-7.182504473317999,0.3334330266820009,34.0,0.9848617614154695,198.6732764300944
-7.49640625,-7.162730734441675,0.3336755155583244,35.0,0.9846414736621439,188.39555783623024
-7.476875,-7.143580262246177,0.3332947377538229,36.0,0.9848368040185168,179.92541615098725
-7.45734375,-7.125172996768563,0.33217075323143685,37.0,0.9855508132278439,175.1346370458101
-7.4378125,-7.10483684053241,0.3329756594675901,38.0,0.9853848707874272,168.38002101454086
-7.41828125,-7.083065574672705,0.33521567532729435,39.0,0.9862494213527937,164.4665126418833
-7.39875,-7.062343640962292,0.3364063590377073,40.0,0.9866226446888985,161.41296519202191
-7.37921875,-7.042911991080566,0.3363067589194335,41.0,0.9870392585477036,161.20150519714176
-7.3596875,-7.022254360008935,0.33743313999106483,42.0,0.9877001024663477,162.7097967592682
-7.34015625,-7.004103797866626,0.33605245213337387,43.0,0.9880164842675799,163.01862583314642
-7.320625,-6.9870774744060204,0.33354752559397927,44.0,0.9877869310782947,161.12862397196437
-7.30109375,-6.970026977772158,0.33106677222784153,45.0,0.9881374107330337,161.04370631573465
-7.2815625,-6.95288149129169,0.3286810087083101,46.0,0.9876720092017659,159.94399513327554
-7.26203125,-6.935491343209986,0.3265399067900141,47.0,0.9880240661343751,160.8428106070517
-7.2425,-6.9203032101425155,0.32219678985748423,48.0,0.9878926155380229,161.67047237784985
-7.22296875,-6.903863168028529,0.31910558197147054,49.0,0.9873321023347368,161.22676429375164
-7.2034375,-6.884040461575466,0.31939703842453415,50.0,0.9878235825574068,163.53617746624897
-7.18390625,-6.8651450083124725,0.3187612416875272,51.0,0.9872378381325255,164.45425867861874
-7.164375,-6.847346462587634,0.3170285374123658,52.0,0.9877532901016931,168.04543058625586
-7.14484375,-6.8307023347388975,0.3141414152611022,53.0,0.9871624537217005,171.44907527918372
-7.1253125,-6.811525763363077,0.31378673663692247,54.0,0.9868775023030625,178.73855163239446
-7.10578125,-6.79135572955539,0.31442552044461003,55.0,0.987385767833539,187.58133962077952
-7.08625,-6.773166088991237,0.3130839110087624,56.0,0.987013780335392,192.03729567888286
-7.06671875,-6.752306208398459,0.3144125416015404,57.0,0.9871977819993047,196.09486344751676
-7.0471875,-6.735540788353054,0.31164671164694546,58.0,0.9876585961721734,198.213548475183
-7.02765625,-6.718143025120314,0.30951322487968547,59.0,0.9872664077868395,200.30199574901795
-7.008125,-6.699430171490705,0.30869482850929497,60.0,0.9878264330080457,203.74216438284978
-6.98859375,-6.678975128017004,0.3096186219829953,61.0,0.9880275157036443,206.77409512153756
-6.9690625,-6.659966729664344,0.30909577033565583,62.0,0.9875291383203486,206.4028367825044
-6.94953125,-6.6419704033108315,0.30756084668916817,63.0,0.9881655840299518,208.47661522019695
-6.93,-6.624519408656879,0.30548059134312044,64.0,0.9877238575481316,207.89265582152143
-6.91046875,-6.607575844040937,0.3028929059590624,65.0,0.9884629281237094,209.70697007663188
-6.8909375,-6.589674467336309,0.3012630326636909,66.0,0.9886458104008404,210.65142513527948
-6.87140625,-6.570905963266658,0.3005002867333415,67.0,0.9882571746851434,209.68969814907672
-6.851875,-6.5520315326131575,0.2998434673868422,68.0,0.9891183146639756,211.4681305941268
-6.83234375,-6.534811557203662,0.29753219279633747,69.0,0.988837345679999,210.71546901478206
-6.8128125,-6.518681839476203,0.29413066052379655,70.0,0.989438284430411,211.40116490072106
-6.79328125,-6.499107659132499,0.2941735908675005,71.0,0.9892867598026062,210.3443007512708
-6.77375,-6.481032051612645,0.292717948387355,72.0,0.9893727043460276,209.61236560386394
-6.75421875,-6.463937294224893,0.2902814557751068,73.0,0.9898279332307429,209.0853929330003
-6.7346875,-6.448238545451499,0.2864489545485007,74.0,0.9896272076881955,208.355606735846
-6.71515625,-6.431190995674487,0.2839652543255129,75.0,0.9898335737517726,207.08681489773562
-6.695625,-6.412815071602246,0.28280992839775365,76.0,0.9897169849318012,205.86061220520344
-6.67609375,-6.394784995647451,0.28130875435254854,77.0,0.9899371127840918,205.8902632229229
-6.6565625,-6.3756127650373084,0.28094973496269127,78.0,0.9899177800085092,204.68751410827954
-6.63703125,-6.357973649255254,0.2790576007447454,79.0,0.9899864037857611,203.32520658960638
-6.6175,-6.34162715231909,0.27587284768091,80.0,0.9903117658855266,202.4495925705905
-6.59796875,-6.325047346840631,0.2729214031593683,81.0,0.9903182663463865,202.20457924677947
-6.5784375,-6.3082342632866695,0.27020323671333024,82.0,0.9906598872757668,200.36277064066925
-6.55890625,-6.289771154751992,0.26913509524800805,83.0,0.990599914792494,197.7796057569233
-6.539375,-6.26910994548279,0.2702650545172096,84.0,0.9905302877053094,195.25001016103278
-6.51984375,-6.250349318733682,0.26949443126631767,85.0,0.9903038763977547,193.35302871011825
-6.5003125,-6.231102724369805,0.26920977563019477,86.0,0.9906391309823016,190.82481700097043
-6.48078125,-6.213691051349733,0.2670901986502665,87.0,0.99036919736317,185.43087814134918
-6.46125,-6.194110368454676,0.26713963154532383,88.0,0.9906124280294839,178.73727038194193
-6.44171875,-6.173522699560024,0.2681960504399754,89.0,0.9908455231013874,171.21304635215066
-6.4221875,-6.154486893663012,0.26770060633698733,90.0,0.9909414577019507,164.78895196842828
-6.40265625,-6.136316615740438,0.26633963425956164,91.0,0.9906753482754271,159.52642279428076
-6.383125,-6.115976576830678,0.2671484231693215,92.0,0.9912549380931464,155.80699371145093
-6.36359375,-6.097564124662624,0.2660296253373753,93.0,0.9909582816022988,151.73940866487627
-6.3440625,-6.077109140892837,0.26695335910716267,94.0,0.9914681735971433,147.37347337552924
-6.32453125,-6.0598230741291434,0.26470817587085627,95.0,0.9915892695321062,143.62292521887912
-6.305,-6.040417912916293,0.26458208708370634,96.0,0.9921683602807884,141.21196844543113
-6.28546875,-6.020669467605197,0.26479928239480266,97.0,0.9922880174875757,138.23501433260205
-6.2659375,-6.00219824417773,0.2637392558222693,98.0,0.9926184744576766,137.27458260628137
-6.24640625,-5.983497283730909,0.2629089662690909,99.0,0.9924777023330874,134.85936688741657
-6.226875,-5.967485481581711,0.2593895184182884,100.0,0.992197890526736,132.54521269158937
-6.20734375,-5.951447922082822,0.25589582791717813,101.0,0.9921069474292253,130.01853167196816
-6.1878125,-5.935424700060826,0.25238779993917415,102.0,0.9923349040843746,128.88070226493292
-6.16828125,-5.917788166592037,0.25049308340796284,103.0,0.9916628218232775,126.90483800320185
-6.14875,-5.90121628108568,0.24753371891431986,104.0,0.9920148357274886,127.43494094098689
-6.12921875,-5.8796437277191425,0.24957502228085726,105.0,0.9915591231685887,126.42273154501537
-6.1096875,-5.861362009539341,0.2483254904606591,106.0,0.9917804649946276,125.70336161799457
-6.09015625,-5.840343145113252,0.2498131048867478,107.0,0.9915988809283551,127.3544270798795
-6.070625,-5.820059343853553,0.25056565614644644,108.0,0.9909768900658178,132.00661701447643
-6.05109375,-5.799634620702585,0.2514591292974151,109.0,0.9909885750620988,139.5131248799011
-6.0315625,-5.778453283169503,0.2531092168304969,110.0,0.9909850093047422,145.37293638059168
-6.01203125,-5.7603225038206,0.25170874617939987,111.0,0.9904911560824332,147.01265685517168
-5.9925,-5.740711075478155,0.2517889245218443,112.0,0.9910114154647769,150.60148731943556
-5.97296875,-5.721938737087744,0.25103001291225535,113.0,0.9904500670107319,151.21194697500215
-5.9534375,-5.703526492244519,0.2499110077554807,114.0,0.9907983949395033,152.8882429267442
-5.93390625,-5.684166519942732,0.2497397300572679,115.0,0.9908188018027808,154.61779163223545
-5.914375,-5.667414695154322,0.2469603048456781,116.0,0.9906138005080923,154.43093389853615
-5.89484375,-5.650906332657705,0.2439374173422948,117.0,0.9909301598600694,156.03955558958026
-5.8753125,-5.6330585383796965,0.24225396162030322,118.0,0.9904040955841272,154.22842499539988
-5.85578125,-5.614749326038603,0.24103192396139672,119.0,0.9906768708888458,154.48688909985452
-5.83625,-5.594156008485838,0.242093991514162,120.0,0.9908236931592153,154.31909310907895
-5.81671875,-5.576950317512013,0.23976843248798652,121.0,0.9909346768078858,154.23291408407016
-5.7971875,-5.558965813999776,0.23822168600022398,122.0,0.9911710270400587,153.7009813217365
-5.77765625,-5.540263712852587,0.2373925371474126,123.0,0.9914793218168999,153.41807913839006
-5.758125,-5.522467943507082,0.23565705649291768,124.0,0.9914154870915921,151.9526323483081
-5.73859375,-5.503798476887848,0.23479527311215165,125.0,0.991310929321847,151.5007126136719
-5.7190625,-5.485542248836253,0.23352025116374708,126.0,0.9920429639636678,152.7346315077084
-5.69953125,-5.466763150056712,0.2327680999432875,127.0,0.9914880678574112,150.034671115603
-5.68,-5.448572260815455,0.23142773918454473,128.0,0.9919557477283011,150.62279232535562
-5.66046875,-5.43182143365022,0.22864731634977975,129.0,0.9913566430078253,147.99264517013657
-5.6409375,-5.41177585858976,0.22916164141023998,130.0,0.9919734086445268,148.49276518035538
-5.62140625,-5.392030677676074,0.22937557232392614,131.0,0.9920442957077169,147.26937901201114
-5.601875,-5.37311721811062,0.22875778188937979,132.0,0.9916391902297322,144.5068135705111
-5.58234375,-5.354617020588757,0.22772672941124306,133.0,0.9922496070032406,145.50057105216237
-5.5628125,-5.336272742496073,0.22653975750392696,134.0,0.9919972808823103,142.8614010788062
-5.54328125,-5.318210864894916,0.22507038510508348,135.0,0.9921760361175471,142.69042519286663
-5.52375,-5.299912049074983,0.22383795092501657,136.0,0.9924243479689836,139.97011057979782
