,x,y,z,radii,angle,n
108,-42.18229456,-29.1209401,17.04020995,-51.25792745,6.887411668,108
120,-32.48594452,-39.58426982,17.06566828,-51.20791939,7.166758636,120
121,-31.55317911,-40.32643193,17.06566828,-51.20375205,7.19003755,121
500,47.33725413,14.89156066,17.10382875,-49.6243308,16.01274594,500
80,-51.31646363,2.443647635,17.1046562,-51.37461293,6.235602077,80
764,47.8472178,8.076955976,17.15634252,-48.52415346,22.15837923,764
765,47.64215627,9.187709138,17.15634252,-48.51998613,22.18165814,765
106,-43.49897484,-27.13058828,17.19632892,-51.26626213,6.84085384,106
107,-42.85219191,-28.13346781,17.19632892,-51.26209479,6.864132754,107
89,-50.6655377,-8.276583389,17.33931394,-51.33710688,6.445112303,89
90,-50.45506175,-9.452905678,17.33931394,-51.33293954,6.468391217,90
128,-24.57892539,-44.88556711,17.34418141,-51.17458069,7.352989948,128
81,-51.35527408,1.248400623,17.36754427,-51.37044559,6.258880991,81
82,-51.36625125,0.05267107,17.36754427,-51.36627825,6.282159905,82
86,-51.13202461,-4.722117505,17.39757649,-51.3496089,6.375275561,86
122,-30.60346834,-41.04662228,17.42346287,-51.19958472,7.213316464,122
374,-43.68826908,-24.62313981,17.4345565,-50.14941544,13.07960278,374
375,-43.0997021,-25.63126189,17.4345565,-50.1452481,13.1028817,375
766,47.41131499,10.29329314,17.46385208,-48.51581879,22.20493706,766
767,47.15482346,11.39310979,17.46385208,-48.51165145,22.22821597,767
84,-51.30471508,-2.337643837,17.48731618,-51.35794357,6.328717733,84
85,-51.23224412,-3.530934121,17.48731618,-51.35377624,6.351996647,85
95,-48.99599212,-15.24219982,17.53114649,-51.31210285,6.584785787,95
96,-48.62397791,-16.37721035,17.53114649,-51.30793551,6.608064701,96
103,-45.29715779,-24.03495681,17.57747944,-51.27876415,6.771017099,103
10130,-1.354272106,-9.395763764,17.61846005,-9.492862037,240.1886874,10130
10131,-1.134703404,-9.420603763,17.61846005,-9.488694698,240.2119664,10131
403,-18.67157917,-46.41367481,17.63105995,-50.02856263,13.75469129,403
404,-17.58469299,-46.83181287,17.63105995,-50.02439529,13.7779702,404
92,-49.95232804,-11.78897741,17.64303217,-51.32460487,6.514949045,92
93,-49.66035153,-12.94746285,17.64303217,-51.32043753,6.538227959,93
6906,4.641743792,-22.45359557,17.67809923,-22.92836103,165.1374688,6906
6907,5.162195838,-22.33540666,17.67809923,-22.92419369,165.1607477,6907
129,-23.52555711,-45.44182396,17.73492667,-51.17041335,7.376268862,129
130,-22.45961302,-45.97336744,17.73492667,-51.16624601,7.399547776,130
688,-1.52214685,-48.81714624,17.74484867,-48.84087118,20.38918177,688
689,-0.385394039,-48.83518316,17.74484867,-48.83670384,20.41246068,689
1031,47.17690252,4.710387004,17.75149053,-47.41147411,28.37384926,1031
1032,47.05034159,5.806728192,17.75149053,-47.40730677,28.39712817,1032
87,-51.00411533,-5.910548869,17.76466299,-51.34544156,6.398554475,87
88,-50.84859011,-7.09558469,17.76466299,-51.34127422,6.421833389,88
7700,-3.169193372,-19.36183802,17.80824918,-19.61949434,183.6209265,7700
398,-23.94532229,-43.94956101,17.81080888,-50.04939932,13.63829672,398
399,-22.91392078,-44.49131913,17.81080888,-50.04523198,13.66157563,399
439,21.94505985,-44.79154993,17.82433245,-49.87853844,14.59273219,439
440,22.97979837,-44.26490438,17.82433245,-49.87437111,14.61601111,440
696,7.537845182,-48.22194642,17.82948807,-48.80753248,20.57541308,696
702,14.17062366,-46.67899428,17.84278809,-48.78252845,20.71508656,702
703,15.25201935,-46.33254167,17.84278809,-48.77836111,20.73836548,703
6038,-24.25892432,-10.77840625,17.84306376,-26.54561076,144.9313715,6038
4230,23.01338634,-25.13645277,17.84927073,-34.08015858,102.843095,4230
978,20.13879991,-43.1655979,17.86325735,-47.63234305,27.14006682,978
1483,-16.63279133,-42.3808236,17.86717376,-45.52783716,38.89591837,1483
1484,-15.64036262,-42.75258555,17.86717376,-45.52366982,38.91919729,1484
657,-33.48068628,-35.73667993,17.86864509,-48.97005867,19.66753544,657
2603,21.89983142,-34.49595854,17.8758098,-40.86041815,64.96830202,2603
7424,-6.21794539,-19.81708232,17.88014547,-20.76967974,177.1959462,7424
7425,-5.75382749,-19.95244282,17.88014547,-20.7655124,177.2192252,7425
694,5.28628151,-48.52879675,17.91061669,-48.81586715,20.52885525,694
695,6.4138973,-48.38846929,17.91061669,-48.81169981,20.55213417,695
944,-16.60372436,-44.79592084,17.91089117,-47.77403255,26.34858374,944
945,-15.55516252,-45.16632531,17.91089117,-47.76986521,26.37186266,945
706,18.44319708,-45.14374258,17.91449128,-48.76585909,20.80820222,706
690,0.751373613,-48.82675557,17.91539458,-48.83253651,20.4357396,690
402,-19.74852752,-45.97031356,17.91763058,-50.03272996,13.73141237,402
362,-48.83265936,-11.63415231,17.92472168,-50.1994235,12.80025582,362
622,-49.11566128,-0.158031448,17.92708145,-49.11591552,18.85277345,622
7118,-20.06921841,-9.121591961,17.92719417,-22.04488529,170.0725986,7118
7119,-19.84770655,-9.584455779,17.92719417,-22.04071795,170.0958775,7119
414,-6.30138302,-49.58391938,17.9320708,-49.9827219,14.01075934,414
415,-5.145091157,-49.71301594,17.9320708,-49.97855457,14.03403826,415
1504,5.208140772,-45.14087093,17.93323582,-45.44032305,39.38477557,1504
1505,6.256891341,-45.00328384,17.93323582,-45.43615571,39.40805448,1505
10635,-6.0255338,-4.275599253,17.93505125,-7.388356146,251.944539,10635
967,8.557438387,-46.9039386,17.94055009,-47.67818377,26.88399877,967
968,9.646050766,-46.68795934,17.94055009,-47.67401643,26.90727768,968
11272,4.572010197,-1.226874698,17.94478788,-4.733761587,266.7732072,11272
11273,4.595280188,-1.119134376,17.94478788,-4.729594249,266.7964861,11273
2608,25.7446,-31.70310687,17.95124918,-40.83958146,65.08469658,2608
70,-49.40860709,14.22758039,17.95271924,-51.41628631,6.002812938,70
71,-49.72236257,13.07259108,17.95271924,-51.41211897,6.026091852,71
6113,14.66541977,-21.75083722,17.97006159,-26.23306038,146.67729,6113
682,-8.307887105,-48.15446783,17.9710733,-48.86587521,20.24950829,682
3389,0.500731411,-37.58155448,17.97781536,-37.58489017,83.26552839,3389
776,43.7203074,20.93507807,17.98443071,-48.4741454,22.4377262,776
777,43.21744414,21.94518844,17.98443071,-48.46997807,22.46100511,777
3669,8.947625826,-35.30174636,17.98536792,-36.41803542,89.7836243,3669
3670,9.765796004,-35.07989477,17.98536792,-36.41386808,89.80690322,3670
668,-23.31580364,-43.01107303,17.9889213,-48.92421795,19.92360349,668
1268,36.48673651,-28.70346058,17.99012591,-46.42381491,33.89095187,1268
1269,37.14164138,-27.84388904,17.99012591,-46.41964757,33.91423078,1269
6604,-12.50151433,-20.70550982,17.99196569,-24.18689723,158.1072368,6604
6605,-12.01409854,-20.98727855,17.99196569,-24.18272989,158.1305157,6605
1217,-13.02242387,-44.78130794,18.00234569,-46.63634917,32.70372726,1217
1218,-11.97545929,-45.06826774,18.00234569,-46.63218183,32.72700617,1218
3428,29.80049367,-22.63545676,18.00875888,-37.42236397,84.17340604,3428
1767,-2.037503922,-44.29747936,18.0095343,-44.34431305,45.50712994,1767
7390,-18.59370188,-9.568678813,18.01112457,-20.91136925,176.4044632,7390
1033,46.89830861,6.899730266,18.01219957,-47.40313944,28.42040709,1033
1034,46.72089046,7.988801553,18.01219957,-47.3989721,28.443686,1034
9323,-1.023251887,-12.8151171,18.01271141,-12.85590412,221.4026039,9323
9324,-0.72444467,-12.83130228,18.01271141,-12.85173678,221.4258828,9324
7697,-4.515412489,-19.10566228,18.01483793,-19.63199636,183.5510898,7697
719,31.02467157,-37.55393298,18.01509112,-48.71168369,21.1108281,719
4477,6.826409964,-32.3381698,18.01621018,-33.050826,108.5929868,4477
4478,7.576334477,-32.16645464,18.01621018,-33.04665866,108.6162657,4478
966,7.46399802,-47.09453621,18.01666976,-47.68235111,26.86071985,966
642,-43.74259225,-22.15351939,18.01820323,-49.03256875,19.31835173,642
920,-37.90366864,-29.24442579,18.01911714,-47.87404867,25.78988981,920
4516,29.54403467,-14.44957713,18.02110605,-32.8882998,109.5008644,4516
4517,29.86858485,-13.75622792,18.02110605,-32.88413246,109.5241433,4517
5260,-11.98631306,-27.26978786,18.02479439,-29.78780003,126.8203764,5260
5261,-11.34672412,-27.53754942,18.02479439,-29.78363269,126.8436553,5261
8012,13.36393662,-12.53001964,18.02623893,-18.31928476,190.8839477,8012
3674,12.97931406,-34.00431563,18.02718009,-36.39719873,89.90001887,3674
3675,13.76573317,-33.68912768,18.02718009,-36.39303139,89.92329779,3675
940,-20.70419287,-43.07304942,18.03165362,-47.79070191,26.25546809,940
123,-29.6373296,-41.74445418,18.03385034,-51.19541738,7.236595378,123
124,-28.65528907,-42.41955314,18.03385034,-51.19125004,7.259874292,124
436,18.77071656,-46.22527575,18.03470605,-49.89104046,14.52289545,436
437,19.83995048,-45.77200536,18.03470605,-49.88687312,14.54617436,437
5336,28.78798623,-6.308450015,18.03496705,-29.47108231,128.5895739,5336
5337,28.92293656,-5.635851217,18.03496705,-29.46691497,128.6128528,5337
397,-24.96391859,-43.38389452,18.03575235,-50.05356666,13.6150178,397
422,2.986375498,-49.86002851,18.03992026,-49.9493832,14.19699065,422
423,4.145802932,-49.77285309,18.03992026,-49.94521586,14.22026957,423
7703,-1.809245707,-19.52333932,18.04092615,-19.60699233,183.6907632,7703
7943,-13.19976991,-13.11412362,18.04155438,-18.60683111,189.2777026,7943
7944,-12.8880514,-13.41481385,18.04155438,-18.60266377,189.3009815,7944
12330,0.234061353,-0.225070608,18.04263862,-0.324717563,291.4022982,12330
970,11.80643844,-46.18035544,18.04299774,-47.66568175,26.95383551,970
971,12.8770451,-45.88901465,18.04299774,-47.66151442,26.97711442,971
12017,-0.32067613,-1.597221227,18.04531722,-1.629094481,284.1159981,12017
2046,7.121141092,-42.59039965,18.0491203,-43.18162564,52.00194694,2046
2047,8.109797654,-42.40900951,18.0491203,-43.1774583,52.02522585,2047
1759,-10.21192003,-43.18671862,18.05097754,-44.37765176,45.32089863,1759
12568,-0.041450069,0.665820003,18.05206424,0.667108975,296.9426797,12568
12569,-0.057292682,0.668826912,18.05206424,0.671276314,296.9659586,12569
1207,-23.02242483,-40.60548909,18.05263352,-46.67802255,32.47093812,1207
1208,-22.06905032,-41.12670396,18.05263352,-46.67385522,32.49421703,1208
8512,-1.7713688,-16.13869466,18.0536339,-16.23561556,202.5234046,8512
8513,-1.394873383,-16.17140191,18.0536339,-16.23144823,202.5466836,8513
11497,0.98763419,-3.665383096,18.05397941,-3.796110448,272.0109628,11497
11498,1.071507445,-3.637403516,18.05397941,-3.79194311,272.0342417,11498
12029,0.128096564,-1.573882205,18.05814158,-1.579086421,284.3953451,12029
12030,0.164262168,-1.566329485,18.05814158,-1.574919082,284.418624,12030
2589,9.71647353,-39.74839789,18.05856969,-40.91876089,64.64239722,2589
2590,10.63797337,-39.50743586,18.05856969,-40.91459355,64.66567613,2590
1270,37.77630343,-26.96938458,18.05872256,-46.41548024,33.9375097,1270
3402,11.66149092,-35.67301755,18.0625872,-37.53071477,83.56815427,3402
3403,12.48729872,-35.38798006,18.0625872,-37.52654743,83.59143319,3403
10696,3.207683038,-6.372349991,18.06292346,-7.134148504,253.3645527,10696
10920,-3.513249214,-5.109336818,18.06402585,-6.200664703,258.5790295,10920
10921,-3.391087646,-5.186241816,18.06402585,-6.196497365,258.6023084,10921
10934,-1.676555695,-5.909084542,18.06454106,-6.142321966,258.9049343,10934
10935,-1.537512946,-5.94247391,18.06454106,-6.138154627,258.9282132,10935
6372,8.371484681,-23.71977784,18.06536896,-25.15371973,152.7065288,6372
6373,8.919859254,-23.51459327,18.06536896,-25.14955239,152.7298077,6373
126,-26.64564979,-43.70011639,18.06618262,-51.18291536,7.30643212,126
127,-25.61914491,-44.30489435,18.06618262,-51.17874802,7.329711034,127
12039,0.474852494,-1.462242782,18.06796902,-1.537413037,284.6281342,12039
4969,-24.38157426,-19.14600632,18.06845605,-31.0004955,120.0462125,4969
4192,-4.888416471,-33.88774795,18.06961368,-34.23851744,101.9584963,4192
3078,-31.47260498,-22.82984978,18.0722595,-38.88093241,76.02578615,3078
3079,-30.92935621,-23.55372131,18.0722595,-38.87676508,76.04906506,3079
12898,-2.030039386,0.223728762,18.07287346,2.042330646,304.6247213,12898
3673,12.18568043,-34.30114639,18.07676094,-36.40136607,89.87673996,3673
9859,-1.781918301,-10.47168221,18.07743509,-10.62221074,233.8801018,9859
9860,-1.537084861,-10.50619893,18.07743509,-10.6180434,233.9033807,9860
10202,9.186224296,-0.348003444,18.08406665,-9.192813672,241.8647692,10202
10203,9.18766888,-0.13402236,18.08406665,-9.188646334,241.8880482,10203
2375,41.79231711,-1.235355494,18.08535864,-41.81057131,59.66070963,2375
2376,41.80558171,-0.26220276,18.08535864,-41.80640397,59.68398854,2376
3069,-35.56683813,-15.80015436,18.08560262,-38.91843846,75.81627592,3069
3070,-35.18565633,-16.62197597,18.08560262,-38.91427112,75.83955484,3070
911,-43.19091665,-20.7379313,18.08860281,-47.91155472,25.58037958,911
2293,-15.14955586,-39.33582041,18.09247693,-42.15229306,57.75183869,2293
2294,-14.22843192,-39.67387335,18.09247693,-42.14812572,57.7751176,2294
4203,3.84886597,-33.97536419,18.09323284,-34.19267672,102.2145644,4203
6925,13.75795132,-18.24291302,18.09598121,-22.8491816,165.5797682,6925
6926,14.17627456,-17.91446109,18.09598121,-22.84501426,165.6030471,6926
1572,44.79305217,5.721195018,18.09599527,-45.15694404,40.96774172,1572
449,31.65972326,-38.48863523,18.09668556,-49.83686506,14.82552133,449
450,32.54431646,-37.73811373,18.09668556,-49.83269772,14.84880024,450
1490,-9.530805552,-44.48923841,18.09696026,-45.49866579,39.05887077,1490
1491,-8.491877779,-44.69493708,18.09696026,-45.49449845,39.08214968,1491
8256,3.682336111,-16.90607352,18.09705268,-17.30245419,196.5640027,8256
991,32.05168791,-35.16207245,18.10038527,-47.57816765,27.4426927,991
992,32.85858639,-34.40347084,18.10038527,-47.57400031,27.46597161,992
1288,45.40761629,-9.251344283,18.10080982,-46.34046814,34.35653015,1288
1289,45.60655356,-8.191156496,18.10080982,-46.33630081,34.37980906,1289
7676,-13.01663836,-14.81304218,18.1054081,-19.71951046,183.0622326,7676
7677,-12.66563402,-15.10882091,18.1054081,-19.71534313,183.0855115,7677
2310,1.183011653,-42.06481635,18.1060521,-42.0814483,58.14758022,2310
2311,2.161611841,-42.02172066,18.1060521,-42.07728096,58.17085914,2311
9890,5.512232989,-8.928539884,18.10733526,-10.49302325,234.6017481,9890
9891,5.716296287,-8.794319481,18.10733526,-10.48885591,234.625027,9891
11254,3.735573934,-3.028166388,18.10813826,-4.808773678,266.3541867,11254
7409,-12.66073318,-16.54345695,18.10894118,-20.83218982,176.8467625,7409
10984,4.60170489,-3.746482963,18.1094223,-5.933955046,260.06888,10984
10985,4.684372189,-3.635799698,18.1094223,-5.929787707,260.0921589,10985
685,-4.926157006,-48.60437275,18.11051282,-48.8533732,20.31934503,685
686,-3.793143887,-48.70171427,18.11051282,-48.84920586,20.34262394,686
12004,-0.808129348,-1.476592174,18.11122091,-1.683269881,283.8133722,12004
12005,-0.77162495,-1.49130154,18.11122091,-1.679102542,283.8366511,12005
707,19.48733698,-44.69839237,18.11170037,-48.76169175,20.83148113,707
708,20.52073918,-44.22889836,18.11170037,-48.75752441,20.85476005,708
12651,-0.923494521,-0.416320723,18.1135825,1.012998062,298.8748296,12651
12652,-0.917311926,-0.439504587,18.1135825,1.017165401,298.8981085,12652
9317,-2.802845611,-12.57226516,18.11398202,-12.88090815,221.2629304,9317
9318,-2.50863208,-12.63001263,18.11398202,-12.87674082,221.2862093,9318
125,-27.65788148,-43.07155706,18.11430175,-51.1870827,7.283153206,125
395,-26.96048603,-42.18205967,18.11477919,-50.06190133,13.56845998,395
396,-25.9691555,-42.79462227,18.11477919,-50.05773399,13.59173889,396
4233,24.70224529,-23.46069695,18.11592452,-34.06765656,102.9129318,4233
4234,25.23855495,-22.87655224,18.11592452,-34.06348923,102.9362107,4234
901,-46.85071398,-10.22363364,18.11605587,-47.9532281,25.34759044,901
902,-46.59599684,-11.31041586,18.11605587,-47.94906077,25.37086936,902
6387,15.94183751,-19.37592886,18.12086828,-25.09120966,153.0557125,6387
8565,14.44586242,-6.912971041,18.12163105,-16.01474663,203.7571871,8565
8566,14.59906042,-6.573133514,18.12163105,-16.01057929,203.780466,8566
11775,1.150943341,-2.373228266,18.12410825,-2.637590374,278.4825009,11775
11776,1.203967436,-2.342088661,18.12410825,-2.633423035,278.5057798,11776
8487,-10.41719247,-12.58853181,18.12449251,-16.33979902,201.9414318,8487
8488,-10.11876776,-12.8243285,18.12449251,-16.33563169,201.9647107,8488
10630,-6.499576022,-3.556915806,18.12558939,-7.409192838,251.8281444,10630
10631,-6.411413196,-3.705156338,18.12558939,-7.4050255,251.8514233,10631
2340,27.86935388,-31.36305115,18.1260349,-41.95642815,58.84594764,2340
2341,28.58899484,-30.70279403,18.1260349,-41.95226081,58.86922656,2341
3076,-32.50799196,-21.34491869,18.12756526,-38.88926709,75.97922832,3076
3077,-31.9989132,-22.09345009,18.12756526,-38.88509975,76.00250724,3077
5292,9.631734228,-28.0466721,18.12876988,-29.6544452,127.5653017,5292
6347,-6.06979037,-24.51773478,18.12951967,-25.25790319,152.1245559,6347
6348,-5.496544087,-24.64830984,18.12951967,-25.25373585,152.1478348,6348
976,18.11117512,-44.06381179,18.13214048,-47.64067772,27.09350899,976
977,19.13025954,-43.62648613,18.13214048,-47.63651039,27.11678791,977
9613,4.406875237,-10.78150352,18.13215849,-11.64737599,228.1534889,9613
9614,4.654974147,-10.67218456,18.13215849,-11.64320865,228.1767678,9614
9084,8.270586571,-11.11181695,18.13240048,-13.851898,215.8389434,9084
9085,8.52442805,-10.91300925,18.13240048,-13.84773066,215.8622223,9085
673,-18.15534942,-45.40841316,18.13272481,-48.90338126,20.03999806,673
73,-50.26874338,10.74255459,18.13276037,-51.4037843,6.07264968,73
74,-50.50108141,9.568772112,18.13276037,-51.39961696,6.095928594,74
2064,23.79225307,-35.94591528,18.13386125,-43.10661355,52.42096739,2064
5854,20.46832574,-18.08355306,18.13440815,-27.31240102,140.6480513,5854
5855,20.88052103,-17.59953035,18.13440815,-27.30823368,140.6713302,5855
5212,-29.96469802,-1.177691395,18.13441652,-29.98783227,125.7029886,5212
8233,-5.488664056,-16.50986109,18.13447169,-17.39830298,196.0285876,8233
1232,3.08038384,-46.47185948,18.13467421,-46.57383909,33.05291097,1232
6385,15.02777752,-20.10355761,18.13595361,-25.09954433,153.0091546,6385
6386,15.48908047,-19.74503312,18.13595361,-25.095377,153.0324336,6386
1488,-11.59317517,-44.00551535,18.13679638,-45.50700047,39.01231294,1488
1489,-10.56475844,-44.25939111,18.13679638,-45.50283313,39.03559186,1489
5048,24.65856888,-18.23957615,18.13772039,-30.67127577,121.8852467,5048
5049,25.07303986,-17.65826186,18.13772039,-30.66710843,121.9085256,5049
461,41.00366449,-28.23881421,18.13849761,-49.786857,15.1048683,461
6642,8.04506137,-22.64172351,18.13904058,-24.02853837,158.9918355,6642
2034,-4.903942821,-42.95259593,18.13919029,-43.2316337,51.72259997,2034
7395,-17.33936923,-11.65163615,18.13970547,-20.89053255,176.5208577,7395
4204,4.638095949,-33.87244071,18.14168274,-34.18850938,102.2378433,4204
4205,5.42462041,-33.75118863,18.14168274,-34.18434204,102.2611222,4205
4208,7.763714517,-33.2782119,18.14523339,-34.17184002,102.3309589,4208
3988,34.5231677,-6.27411866,18.14543406,-35.08865447,97.20959786,3988
3989,34.655739,-5.468179961,18.14543406,-35.08448713,97.23287677,3989
3178,37.79977324,-7.118406749,18.14653387,-38.46419857,78.35367755,3178
3179,37.95111333,-6.235944182,18.14653387,-38.46003124,78.37695646,3179
3132,11.93313083,-36.76790305,18.14682512,-38.65589614,77.2828475,3132
876,-44.8550399,17.24935366,18.14791581,-48.05741156,24.76561759,876
1507,8.343078808,-44.65512244,18.14930173,-45.42782104,39.45461231,1507
1508,9.379386689,-44.4447457,18.14930173,-45.4236537,39.47789122,1508
11536,3.347148244,-1.414048493,18.15001546,-3.633584251,272.9188405,11536
11537,3.375280366,-1.33422246,18.15001546,-3.629416912,272.9421194,11537
376,-42.48787928,-26.62532806,18.15149913,-50.14108076,13.12616061,376
377,-41.853136,-27.60480202,18.15149913,-50.13691342,13.14943953,377
3445,36.1544671,-9.380324979,18.15198835,-37.35151922,84.56914757,3445
3446,36.35895836,-8.535270349,18.15198835,-37.34735188,84.59242649,3446
10741,6.935375669,-0.395056719,18.15288467,-6.946618276,254.4121039,10741
8509,-2.89543672,-15.98805088,18.15499535,-16.24811758,202.4535679,8509
8510,-2.521854404,-16.04699878,18.15499535,-16.24395024,202.4768468,8510
68,-48.70079419,16.51436614,18.15580886,-51.42462099,5.95625511,68
69,-49.06802422,15.37504645,18.15580886,-51.42045365,5.979534024,69
709,21.54284555,-43.73551911,18.15688239,-48.75335708,20.87803896,709
710,22.55310417,-43.21852603,18.15688239,-48.74918974,20.90131788,710
989,30.38579971,-36.62210233,18.1575188,-47.58650233,27.39613487,989
990,31.22727777,-35.90175101,18.1575188,-47.58233499,27.41941379,990
3426,28.72111956,-24.00321838,18.1580265,-37.43069865,84.12684821,3426
3427,29.26879721,-23.32558158,18.1580265,-37.42653131,84.15012712,3427
969,10.72924612,-46.44671991,18.15818705,-47.66984909,26.93055659,969
4729,-6.635130872,-31.30522431,18.15959313,-32.00065672,114.4592731,4729
4730,-5.90387839,-31.44709132,18.15959313,-31.99648938,114.482552,4730
3676,14.54451326,-33.35575754,18.16036924,-36.38886405,89.9465767,3676
12040,0.507381132,-1.446861002,18.16076694,-1.533245698,284.6514131,12040
12041,0.539451755,-1.430759391,18.16076694,-1.52907836,284.674692,12041
1238,9.515076767,-45.56596712,18.16096178,-46.54883506,33.19258445,1238
1239,10.57218259,-45.32808234,18.16096178,-46.54466773,33.21586336,1239
6685,23.22999216,-5.399871925,18.16156318,-23.84934282,159.9928288,6685
1743,-25.2657262,-36.56421031,18.16386489,-44.44432917,44.948436,1743
1744,-24.40549383,-37.13892641,18.16386489,-44.44016184,44.97171492,1744
